"gID";"T";"x";"y";"itemsInCraneID"
1;6663.0;1015;5;null
1;6897.0;1015;5;null
1;7247.0;1015;5;null
1;7489.0;1015;5;null
1;7599.0;1015;5;null
1;7693.0;1015;5;null
1;7923.0;1015;5;null
1;8151.0;1015;5;null
1;8237.0;1015;5;null
1;8475.0;1015;5;null
1;8699.0;1015;5;null
1;8751.0;1015;5;null
1;8797.0;1015;5;null
1;8835.0;1015;5;null
1;9055.0;1015;5;null
1;9465.0;1015;5;null
1;9475.0;965;5;null
1;9485.0;965;5;2646
1;9495.0;1015;5;2646
1;9505.0;1015;5;null
1;9589.0;595;5;null
1;9599.0;595;5;2616
1;9683.0;1015;5;2616
1;9693.0;1015;5;null
1;9868.0;1015;5;null
1;9878.0;1015;5;null
1;9972.0;545;5;null
1;9982.0;545;5;2612
1;10046.0;865;15;2612
1;10056.0;865;15;null
1;10120.0;545;5;null
1;10130.0;545;5;2601
1;10224.0;1015;5;2601
1;10234.0;1015;5;null
1;10270.0;835;5;null
1;10280.0;835;5;2633
1;10316.0;1015;5;2633
1;10326.0;1015;5;null
1;10386.0;715;5;null
1;10396.0;715;5;2630
1;10456.0;1015;5;2630
1;10466.0;1015;5;null
1;10542.0;635;5;null
1;10552.0;635;5;2621
1;10628.0;1015;5;2621
1;10638.0;1015;5;null
1;10658.0;915;5;null
1;10668.0;915;5;2640
1;10688.0;1015;5;2640
1;10698.0;1015;5;null
1;10710.0;955;5;null
1;10720.0;955;5;2645
1;10732.0;1015;5;2645
1;10742.0;1015;5;null
1;10774.0;855;5;null
1;10784.0;855;5;2637
1;10816.0;1015;5;2637
1;10826.0;1015;5;null
1;10826.0;1015;5;null
1;10996.0;165;65;null
1;11006.0;165;65;2191
1;11008.0;175;75;2191
1;11018.0;175;75;null
1;11020.0;185;75;null
1;11044.0;185;75;null
1;11048.0;165;65;null
1;11058.0;165;65;508
1;11100.0;375;75;508
1;11110.0;375;75;null
1;11152.0;165;65;null
1;11162.0;165;65;266
1;11332.0;1015;5;266
1;11342.0;1015;5;null
1;11478.0;335;45;null
1;11488.0;335;45;1967
1;11624.0;1015;5;1967
1;11634.0;1015;5;null
1;11642.0;975;25;null
1;11652.0;975;25;2306
1;11660.0;1015;5;2306
1;11670.0;1015;5;null
1;11760.0;565;25;null
1;11770.0;565;25;2505
1;11860.0;1015;5;2505
1;11870.0;1015;5;null
1;11870.0;1015;5;null
1;12122.0;1015;5;null
1;12140.0;925;15;null
1;12150.0;925;15;1635
1;12160.0;975;25;1635
1;12170.0;975;25;null
1;12180.0;925;15;null
1;12190.0;925;15;1362
1;12208.0;1015;5;1362
1;12218.0;1015;5;null
1;12322.0;495;5;null
1;12332.0;495;5;2618
1;12340.0;535;15;2618
1;12350.0;535;15;null
1;12358.0;495;5;null
1;12368.0;495;5;2596
1;12472.0;1015;5;2596
1;12482.0;1015;5;null
1;12490.0;975;15;null
1;12500.0;975;15;1361
1;12502.0;985;5;1361
1;12512.0;985;5;null
1;12514.0;975;15;null
1;12524.0;975;15;752
1;12532.0;1015;5;752
1;12542.0;1015;5;null
1;12551.0;995;95;null
1;12561.0;995;95;1245
1;12570.0;1015;5;1245
1;12580.0;1015;5;null
1;12648.0;675;5;null
1;12658.0;675;5;2623
1;12726.0;1015;5;2623
1;12736.0;1015;5;null
1;12736.0;1015;5;null
1;12850.0;1015;5;null
1;12976.0;385;15;null
1;12986.0;385;15;1415
1;13008.0;495;5;1415
1;13018.0;495;5;null
1;13040.0;385;15;null
1;13050.0;385;15;1226
1;13176.0;1015;5;1226
1;13186.0;1015;5;null
1;13190.0;995;5;null
1;13200.0;995;5;2647
1;13204.0;1015;5;2647
1;13214.0;1015;5;null
1;13226.0;955;45;null
1;13236.0;955;45;1481
1;13248.0;1015;5;1481
1;13258.0;1015;5;null
1;13360.0;505;45;null
1;13370.0;505;45;1868
1;13422.0;765;55;1868
1;13432.0;765;55;null
1;13484.0;505;45;null
1;13494.0;505;45;568
1;13596.0;1015;5;568
1;13606.0;1015;5;null
1;13708.0;505;55;null
1;13718.0;505;55;1865
1;13738.0;605;65;1865
1;13748.0;605;65;null
1;13768.0;505;55;null
1;13778.0;505;55;952
1;13880.0;1015;5;952
1;13890.0;1015;5;null
1;13968.0;625;5;null
1;13978.0;625;5;2620
1;14056.0;1015;5;2620
1;14066.0;1015;5;null
1;14140.0;645;5;null
1;14150.0;645;5;2622
1;14224.0;1015;5;2622
1;14234.0;1015;5;null
1;14332.0;525;5;null
1;14342.0;525;5;2611
1;14440.0;1015;5;2611
1;14450.0;1015;5;null
1;14480.0;865;15;null
1;14490.0;865;15;2612
1;14520.0;1015;5;2612
1;14530.0;1015;5;null
1;14630.0;515;55;null
1;14640.0;515;55;2514
1;14688.0;755;65;2514
1;14698.0;755;65;null
1;14746.0;515;55;null
1;14756.0;515;55;2376
1;14856.0;1015;5;2376
1;14866.0;1015;5;null
1;14912.0;785;5;null
1;14922.0;785;5;2632
1;14968.0;1015;5;2632
1;14978.0;1015;5;null
1;14996.0;925;35;null
1;15006.0;925;35;1443
1;15012.0;955;45;1443
1;15022.0;955;45;null
1;15028.0;925;35;null
1;15038.0;925;35;323
1;15056.0;1015;5;323
1;15066.0;1015;5;null
1;15134.0;675;45;null
1;15144.0;675;45;1116
1;15212.0;1015;5;1116
1;15222.0;1015;5;null
1;15384.0;205;75;null
1;15394.0;205;75;1979
1;15556.0;1015;5;1979
1;15566.0;1015;5;null
1;15566.0;1015;5;null
1;15712.0;1015;5;null
1;15804.0;555;35;null
1;15814.0;555;35;471
1;15834.0;655;45;471
1;15844.0;655;45;null
1;15864.0;555;35;null
1;15874.0;555;35;382
1;15966.0;1015;5;382
1;15976.0;1015;5;null
1;15988.0;955;25;null
1;15998.0;955;25;2034
1;16002.0;975;15;2034
1;16012.0;975;15;null
1;16016.0;955;25;null
1;16026.0;955;25;1263
1;16038.0;1015;5;1263
1;16048.0;1015;5;null
1;16068.0;915;5;null
1;16078.0;915;5;2608
1;16098.0;1015;5;2608
1;16108.0;1015;5;null
1;16130.0;905;85;null
1;16140.0;905;85;1167
1;16162.0;1015;5;1167
1;16172.0;1015;5;null
1;16210.0;825;65;null
1;16220.0;825;65;2183
1;16222.0;835;55;2183
1;16232.0;835;55;null
1;16234.0;825;65;null
1;16244.0;825;65;1518
1;16282.0;1015;5;1518
1;16292.0;1015;5;null
1;16292.0;1015;5;null
1;16386.0;1015;5;null
1;16552.0;185;5;null
1;16562.0;185;5;1398
1;16698.0;865;15;1398
1;16708.0;865;15;null
1;16844.0;185;5;null
1;16854.0;185;5;1385
1;17020.0;1015;5;1385
1;17030.0;1015;5;null
1;17104.0;645;45;null
1;17114.0;645;45;608
1;17188.0;1015;5;608
1;17198.0;1015;5;null
1;17396.0;25;55;null
1;17406.0;25;55;2477
1;17432.0;155;45;2477
1;17442.0;155;45;null
1;17468.0;25;55;null
1;17478.0;25;55;390
1;17676.0;1015;5;390
1;17686.0;1015;5;null
1;17790.0;495;25;null
1;17800.0;495;25;2504
1;17904.0;1015;5;2504
1;17914.0;1015;5;null
1;18116.0;5;35;null
1;18126.0;5;35;1464
1;18328.0;1015;5;1464
1;18338.0;1015;5;null
1;18378.0;815;55;null
1;18388.0;815;55;1275
1;18428.0;1015;5;1275
1;18438.0;1015;5;null
1;18554.0;435;65;null
1;18564.0;435;65;654
1;18680.0;1015;5;654
1;18690.0;1015;5;null
1;18690.0;1015;5;null
1;18938.0;1015;5;null
1;19010.0;655;65;null
1;19020.0;655;65;1060
1;19022.0;665;75;1060
1;19032.0;665;75;null
1;19034.0;655;65;null
1;19044.0;655;65;165
1;19116.0;1015;5;165
1;19126.0;1015;5;null
1;19204.0;625;5;null
1;19214.0;625;5;2602
1;19292.0;1015;5;2602
1;19302.0;1015;5;null
1;19302.0;1015;5;null
1;19474.0;1015;5;null
1;19576.0;505;5;null
1;19586.0;505;5;2605
1;19592.0;535;15;2605
1;19602.0;535;15;null
1;19608.0;505;5;null
1;19618.0;505;5;2600
1;19720.0;1015;5;2600
1;19730.0;1015;5;null
