"gID";"T";"x";"y";"itemsInCraneID"
0;20947.0;890;65;null
0;20954.0;855;75;null
0;20964.0;855;75;2415
0;20969.0;830;85;2415
0;20979.0;830;85;null
0;20987.0;870;75;null
0;20997.0;870;75;2054
0;21007.0;820;85;2054
0;21017.0;820;85;null
0;21026.0;865;75;null
0;21036.0;865;75;1717
0;21049.0;800;65;1717
0;21059.0;800;65;null
0;21071.0;860;75;null
0;21081.0;860;75;1039
0;21112.0;1015;5;1039
0;21122.0;1015;5;null
0;21252.0;365;35;null
0;21262.0;365;35;2582
0;21392.0;1015;5;2582
0;21402.0;1015;5;null
0;21536.0;345;35;null
0;21546.0;345;35;2585
0;21680.0;1015;5;2585
0;21690.0;1015;5;null
0;21770.0;615;95;null
0;21780.0;615;95;2039
0;21783.0;630;85;2039
0;21793.0;630;85;null
0;21797.0;610;95;null
0;21807.0;610;95;1920
0;21813.0;640;85;1920
0;21823.0;640;85;null
0;21825.0;630;95;null
0;21835.0;630;95;2129
0;21839.0;650;85;2129
0;21849.0;650;85;null
0;21854.0;625;95;null
0;21864.0;625;95;1883
0;21875.0;570;85;1883
0;21885.0;570;85;null
0;21895.0;620;95;null
0;21905.0;620;95;855
0;21917.0;560;85;855
0;21927.0;560;85;null
0;21938.0;615;95;null
0;21948.0;615;95;775
0;22028.0;1015;5;775
0;22038.0;1015;5;null
0;22054.0;935;35;null
0;22064.0;935;35;2608
0;22080.0;1015;5;2608
0;22090.0;1015;5;null
0;22277.0;80;95;null
0;22287.0;80;95;2236
0;22474.0;1015;5;2236
0;22484.0;1015;5;null
0;22589.0;490;75;null
0;22599.0;490;75;2215
0;22704.0;1015;5;2215
0;22714.0;1015;5;null
0;22894.0;115;35;null
0;22904.0;115;35;2605
0;23084.0;1015;5;2605
0;23094.0;1015;5;null
0;23136.0;805;35;null
0;23146.0;805;35;2599
0;23188.0;1015;5;2599
0;23198.0;1015;5;null
0;23295.0;530;35;null
0;23305.0;530;35;2562
0;23402.0;1015;5;2562
0;23412.0;1015;5;null
0;23612.0;15;25;null
0;23622.0;15;25;2383
0;23647.0;140;35;2383
0;23657.0;140;35;null
0;23681.0;20;25;null
0;23691.0;20;25;2360
0;23890.0;1015;5;2360
0;23900.0;1015;5;null
0;23986.0;585;35;null
0;23996.0;585;35;2577
0;24082.0;1015;5;2577
0;24092.0;1015;5;null
0;24156.0;695;35;null
0;24166.0;695;35;2588
0;24230.0;1015;5;2588
0;24240.0;1015;5;null
0;24266.0;885;35;null
0;24276.0;885;35;2604
0;24302.0;1015;5;2604
0;24312.0;1015;5;null
0;24363.0;760;5;null
0;24373.0;760;5;2427
0;24375.0;750;15;2427
0;24385.0;750;15;null
0;24388.0;765;5;null
0;24398.0;765;5;2426
0;24403.0;740;15;2426
0;24413.0;740;15;null
0;24421.0;780;5;null
0;24431.0;780;5;2319
0;24441.0;730;15;2319
0;24451.0;730;15;null
0;24460.0;775;5;null
0;24470.0;775;5;2146
0;24489.0;870;15;2146
0;24499.0;870;15;null
0;24519.0;770;5;null
0;24529.0;770;5;1620
0;24578.0;1015;5;1620
0;24588.0;1015;5;null
0;24625.0;830;15;null
0;24635.0;830;15;2256
0;24651.0;910;25;2256
0;24661.0;910;25;null
0;24675.0;840;15;null
0;24685.0;840;15;2303
0;24798.0;275;5;2303
0;24808.0;275;5;null
0;24920.0;835;15;null
0;24930.0;835;15;2168
0;24955.0;960;25;2168
0;24965.0;960;25;null
0;24988.0;845;15;null
0;24998.0;845;15;1113
0;25013.0;770;5;1113
0;25023.0;770;5;null
0;25037.0;840;15;null
0;25047.0;840;15;830
0;25082.0;1015;5;830
0;25092.0;1015;5;null
0;25276.0;95;45;null
0;25286.0;95;45;2156
0;25470.0;1015;5;2156
0;25480.0;1015;5;null
0;25611.0;360;35;null
0;25621.0;360;35;2564
0;25752.0;1015;5;2564
0;25762.0;1015;5;null
0;25831.0;670;65;null
0;25841.0;670;65;1957
0;25859.0;580;55;1957
0;25869.0;580;55;null
0;25888.0;675;65;null
0;25898.0;675;65;1926
0;25903.0;700;75;1926
0;25913.0;700;75;null
0;25915.0;690;65;null
0;25925.0;690;65;2229
0;25939.0;620;75;2229
0;25949.0;620;75;null
0;25962.0;685;65;null
0;25972.0;685;65;1640
0;25995.0;570;55;1640
0;26005.0;570;55;null
0;26027.0;680;65;null
0;26037.0;680;65;1432
0;26104.0;1015;5;1432
0;26114.0;1015;5;null
