"gID";"T";"x";"y";"itemsInCraneID"
1;10989.0;715;5;null
1;11041.0;975;15;null
1;11051.0;975;15;752
1;11059.0;1015;5;752
1;11069.0;1015;5;null
1;11078.0;995;95;null
1;11088.0;995;95;1245
1;11097.0;1015;5;1245
1;11107.0;1015;5;null
1;11143.0;835;5;null
1;11153.0;835;5;2623
1;11189.0;1015;5;2623
1;11199.0;1015;5;null
1;11325.0;385;15;null
1;11335.0;385;15;2436
1;11357.0;495;5;2436
1;11367.0;495;5;null
1;11389.0;385;15;null
1;11399.0;385;15;1415
1;11427.0;245;5;1415
1;11437.0;245;5;null
1;11465.0;385;15;null
1;11475.0;385;15;1226
1;11601.0;1015;5;1226
1;11611.0;1015;5;null
0;9391.0;-15;5;null
0;9401.0;-15;5;2647
0;9649.0;595;5;2647
0;9659.0;595;5;null
1;11695.0;595;5;null
1;11705.0;595;5;2647
1;11789.0;1015;5;2647
1;11799.0;1015;5;null
1;11811.0;955;45;null
1;11821.0;955;45;1481
1;11833.0;1015;5;1481
1;11843.0;1015;5;null
1;11945.0;505;45;null
1;11955.0;505;45;1868
1;12007.0;765;55;1868
1;12017.0;765;55;null
1;12069.0;505;45;null
1;12079.0;505;45;568
1;12181.0;1015;5;568
1;12191.0;1015;5;null
1;12293.0;505;55;null
1;12303.0;505;55;1865
1;12323.0;605;65;1865
1;12333.0;605;65;null
1;12353.0;505;55;null
1;12363.0;505;55;952
1;12465.0;1015;5;952
1;12475.0;1015;5;null
1;12543.0;675;5;null
1;12553.0;675;5;2620
1;12621.0;1015;5;2620
1;12631.0;1015;5;null
1;12677.0;785;5;null
1;12687.0;785;5;2622
1;12733.0;1015;5;2622
1;12743.0;1015;5;null
1;12913.0;165;5;null
1;12923.0;165;5;2611
1;13093.0;1015;5;2611
1;13103.0;1015;5;null
1;13285.0;105;15;null
1;13295.0;105;15;2612
1;13477.0;1015;5;2612
1;13487.0;1015;5;null
1;13587.0;515;55;null
1;13597.0;515;55;2514
1;13601.0;495;45;2514
1;13611.0;495;45;null
1;13615.0;515;55;null
1;13625.0;515;55;2376
1;13725.0;1015;5;2376
1;13735.0;1015;5;null
1;13929.0;45;5;null
1;13939.0;45;5;2632
1;14133.0;1015;5;2632
1;14143.0;1015;5;null
1;14161.0;925;35;null
1;14171.0;925;35;1443
1;14205.0;755;45;1443
1;14215.0;755;45;null
1;14249.0;925;35;null
1;14259.0;925;35;323
1;14277.0;1015;5;323
1;14287.0;1015;5;null
1;14355.0;675;45;null
1;14365.0;675;45;1116
1;14433.0;1015;5;1116
1;14443.0;1015;5;null
1;14605.0;205;75;null
1;14615.0;205;75;1979
1;14777.0;1015;5;1979
1;14787.0;1015;5;null
1;14879.0;555;35;null
1;14889.0;555;35;1287
1;14893.0;535;45;1287
1;14903.0;535;45;null
1;14907.0;555;35;null
1;14917.0;555;35;471
1;14931.0;625;25;471
1;14941.0;625;25;null
1;14955.0;555;35;null
1;14965.0;555;35;382
1;15057.0;1015;5;382
1;15067.0;1015;5;null
1;15079.0;955;25;null
1;15089.0;955;25;2034
1;15093.0;975;15;2034
1;15103.0;975;15;null
1;15107.0;955;25;null
1;15117.0;955;25;1263
1;15129.0;1015;5;1263
1;15139.0;1015;5;null
1;15331.0;55;5;null
1;15341.0;55;5;2608
1;15533.0;1015;5;2608
1;15543.0;1015;5;null
1;15565.0;905;85;null
1;15575.0;905;85;1167
1;15597.0;1015;5;1167
1;15607.0;1015;5;null
1;15645.0;825;65;null
1;15655.0;825;65;2183
1;15675.0;725;75;2183
1;15685.0;725;75;null
1;15705.0;825;65;null
1;15715.0;825;65;1518
1;15753.0;1015;5;1518
1;15763.0;1015;5;null
1;15929.0;185;5;null
1;15939.0;185;5;2184
1;15955.0;105;15;2184
1;15965.0;105;15;null
1;15981.0;185;5;null
1;15991.0;185;5;1398
1;16015.0;65;15;1398
1;16025.0;65;15;null
1;16049.0;185;5;null
1;16059.0;185;5;1385
1;16225.0;1015;5;1385
1;16235.0;1015;5;null
1;16309.0;645;45;null
1;16319.0;645;45;608
1;16393.0;1015;5;608
1;16403.0;1015;5;null
1;16601.0;25;55;null
1;16611.0;25;55;2477
1;16612.0;25;65;2477
1;16622.0;25;65;null
1;16623.0;25;55;null
1;16633.0;25;55;390
1;16831.0;1015;5;390
1;16841.0;1015;5;null
1;16945.0;495;25;null
1;16955.0;495;25;2504
1;17059.0;1015;5;2504
1;17069.0;1015;5;null
1;17271.0;5;35;null
1;17281.0;5;35;1464
1;17483.0;1015;5;1464
1;17493.0;1015;5;null
1;17533.0;815;55;null
1;17543.0;815;55;1275
1;17583.0;1015;5;1275
1;17593.0;1015;5;null
1;17709.0;435;65;null
1;17719.0;435;65;654
1;17835.0;1015;5;654
1;17845.0;1015;5;null
1;17917.0;655;65;null
1;17927.0;655;65;1278
1;17928.0;655;55;1278
1;17938.0;655;55;null
1;17939.0;655;65;null
1;17949.0;655;65;1060
1;17957.0;615;55;1060
1;17967.0;615;55;null
1;17975.0;655;65;null
1;17985.0;655;65;165
1;18057.0;1015;5;165
1;18067.0;1015;5;null
1;18169.0;505;5;null
1;18179.0;505;5;2613
1;18185.0;535;15;2613
1;18195.0;535;15;null
1;18201.0;505;5;null
1;18211.0;505;5;2602
1;18313.0;1015;5;2602
1;18323.0;1015;5;null
1;18511.0;75;5;null
1;18521.0;75;5;2634
1;18597.0;455;15;2634
1;18607.0;455;15;null
1;18683.0;75;5;null
1;18693.0;75;5;2609
1;18851.0;865;15;2609
1;18861.0;865;15;null
1;19019.0;75;5;null
1;19029.0;75;5;2600
1;19217.0;1015;5;2600
1;19227.0;1015;5;null
0;9781.0;-15;5;null
0;9791.0;-15;5;2648
0;9807.0;65;15;2648
0;9817.0;65;15;null
0;9833.0;-15;5;null
0;9843.0;-15;5;2649
0;9867.0;105;15;2649
0;9877.0;105;15;null
